英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
China State Construction Engineering Corporation Limited (CSCEC),中国建筑股份有限公司,2024/01/31,2,2,601668.0,内地企业,CMC
"China Telecom Group Co., Ltd. (China Telecom)",中国电信集团有限公司,2024/01/31,2,1,601728.0,内地企业,CMC
China Three Gorges Corporation (CTG),中国长江三峡集团有限公司,2024/01/31,2,1,600900.0,内地企业,CMC
"Guizhou Aviation Technical Development Co., Ltd. (Guizhou Aviation Tech)",贵州航宇科技发展股份有限公司,2024/01/31,1,2,688239.0,内地企业,CMC
"Hesai Technology Co., Ltd",上海禾赛科技有限公司,2024/01/31,2,0,,内地企业,CMC
"NetPosa Technologies, Ltd. (NetPosa)",东方网力科技股份有限公司,2024/01/31,2,0,,内地企业,CMC
"Shanghai Yitu Network Technology Co., Ltd. (Yitu)",上海依图网络科技有限公司,2024/01/31,0,0,,内地企业,CMC
"Wuhan Geosun Navigation Technology Co., Ltd. (Geosun)",武汉际上导航科技有限公司,2024/01/31,0,0,,内地企业,CMC
"Yangtze Memory Technologies Co., Ltd. (YMTC)",长江存储科技有限责任公司,2024/01/31,1,0,,内地企业,CMC
"Addsino Co., Ltd",,2025/01/07,1,.,,,CMC
"Aerospace CH UAV Co., Ltd (CH UAV)",,2025/01/07,.,.,,,CMC
"Aerospace Precision Products Co., Ltd",,2025/01/07,1,.,,,CMC
Aisino Corporation,,2025/01/07,1,.,,,CMC
"Anhui Sun Create Electronics Co., Ltd",,2025/01/07,1,.,,,CMC
"Autel Robotics Co., Ltd",,2025/01/07,.,.,,,CMC
"AVIC Aerospace Systems Co., Ltd",,2025/01/07,1,.,,,CMC
"AVIC Airborne Systems Co., Ltd. (formerly China Avionics Systems Co., Ltd.)",,2025/01/07,1,.,,,CMC
AVIC Asset Management Corporation Ltd,,2025/01/07,1,.,,,CMC
AVIC Electromechanical Systems Co. Ltd,,2025/01/07,1,.,,,CMC
"Baicells Technologies Co., Ltd",,2025/01/07,.,.,,,CMC
Beijing Aeronautical Science & Technology Research Institute (Beijing Research Center),,2025/01/07,1,.,,,CMC
Better Way Enterprises Limited,,2025/01/07,1,.,,,CMC
BGI Group,,2025/01/07,2,.,,,CMC
"Changhe Aircraft Industries (Group) Co., Ltd",,2025/01/07,1,.,,,CMC
"ChangXin Memory Technologies, Inc. (CXMT)",,2025/01/07,.,.,,,CMC
"Cheng Du Westone Information Industry Co., Ltd",,2025/01/07,1,.,,,CMC
"Chengdu Dahua Wisdom Information Technology Co., Ltd",,2025/01/07,1,.,,,CMC
"China Aerospace Automotive Co., Ltd",,2025/01/07,1,.,,,CMC
China Airport Construction Group Corporation,,2025/01/07,1,.,,,CMC
"China Cargo Airlines Co., Ltd",,2025/01/07,.,.,,,CMC
"China Communications Constructions USA, Inc",,2025/01/07,1,.,,,CMC
"China Construction America, Inc",,2025/01/07,1,.,,,CMC
China COSCO SHIPPING Corporation Limited (COSCO SHIPPING),,2025/01/07,2,.,,,CMC
"China IC Capital Co., Ltd",,2025/01/07,1,.,,,CMC
China International Information Services Ltd,,2025/01/07,1,.,,,CMC
"China International Marine Containers (Group) Co., Ltd. (CIMC)",,2025/01/07,2,.,,,CMC
"China National Chemical Engineering Co., Ltd",,2025/01/07,1,.,,,CMC
"China Shipbuilding Trading Co., Ltd. (CSTC)",,2025/01/07,.,.,,,CMC
"China Traffic Construction USA, Inc",,2025/01/07,1,.,,,CMC
CNOOC China Limited (CNOOC China Ltd.),,2025/01/07,1,.,,,CMC
"CNOOC International Trading Co., Ltd. (CNOOC International Trading)",,2025/01/07,1,.,,,CMC
COMAC America Corporation (CAC),,2025/01/07,1,.,,,CMC
Commercial Aircraft Corporation of China Limited (COMAC),中国商用飞机有限责任公司,2025/01/07,2,0,,内地企业,CMC
"Contemporary Amperex Technology Co., Ltd. (CATL)",,2025/01/07,.,.,,,CMC
COSCO SHIPPING (North America) Inc,,2025/01/07,1,.,,,CMC
"COSCO SHIPPING Finance Co., Ltd",,2025/01/07,1,.,,,CMC
CSSC Offshore & Marine Engineering (Group) Company Limited (COMEC),,2025/01/07,1,.,,,CMC
Forensic Genomics International (FGI),,2025/01/07,1,.,,,CMC
"GLARUN Technology Co., Ltd.
                    

      ( printed page 1106)",,2025/01/07,.,.,,,CMC
GTCOM Technology Corporation (GTCOM-US),,2025/01/07,1,.,,,CMC
"Guangzhou GCI Science & Technology Co., Ltd",,2025/01/07,1,.,,,CMC
"Guangzhou Wenchong Shipyard Co., Ltd",,2025/01/07,1,.,,,CMC
Harbin First Machinery Group Ltd,,2025/01/07,1,.,,,CMC
"Heilongjiang Northern Tools Co., Ltd",,2025/01/07,1,.,,,CMC
"Huacheng (Tianjin) Ship Leasing Co., Ltd",,2025/01/07,1,.,,,CMC
John Holland Group Pty Ltd,,2025/01/07,1,.,,,CMC
John Holland Services Pty Ltd,,2025/01/07,1,.,,,CMC
Magnificent Tower Limited,,2025/01/07,1,.,,,CMC
"MGI Tech Co., Ltd. (MGI)",,2025/01/07,1,.,,,CMC
"Oriental Blue Sky Titanium Technology Co., Ltd",,2025/01/07,1,.,,,CMC
"Origincell Technology Co., Ltd",,2025/01/07,.,.,,,CMC
Phoenix Optics Company Limited,,2025/01/07,1,.,,,CMC
"Quectel Wireless Solutions Co., Ltd",,2025/01/07,.,.,,,CMC
"SDIC Intelligence (Xiamen) Information Co., Ltd",,2025/01/07,.,.,,,CMC
Semiconductor Manufacturing International (Tianjin) Corporation (SMIC Tianjin],,2025/01/07,1,.,,,CMC
Semiconductor Manufacturing North China (Beijing) Corporation,,2025/01/07,1,.,,,CMC
"SenseTime Group, Inc",,2025/01/07,.,.,,,CMC
"Shanghai Aircraft Manufacturing Co., Ltd. (Assembly Manufacturing Center)",,2025/01/07,1,.,,,CMC
"Shanghai East China Computer Co., Ltd",,2025/01/07,1,.,,,CMC
Shenyang Aircraft Design Institute,,2025/01/07,1,.,,,CMC
"Shenzhen Dajiang Baiwang Technology Co., Ltd",,2025/01/07,1,.,,,CMC
SilTech Semiconductor Corporation,,2025/01/07,1,.,,,CMC
"Sinotrans & CSC Holdings Co., Ltd",,2025/01/07,.,.,,,CMC
"SMIC, Americas",,2025/01/07,1,.,,,CMC
"Taiji Computer Co., Ltd",,2025/01/07,1,.,,,CMC
Tencent Holdings Limited,,2025/01/07,2,.,,,CMC
"Xi'an Aerospace Tianhua Data Technology Co., Ltd",,2025/01/07,1,.,,,CMC
"Xi'an Aircraft Industry Group Co., Ltd",,2025/01/07,1,.,,,CMC
"Xiamen Meiya Zhongmin Electronic Technology Co., Ltd",,2025/01/07,1,.,,,CMC
"Zhejiang Dahua Technology Co., Ltd. (Dahua)",,2025/01/07,.,.,,,CMC
