英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
Proven Glory Capital Limited,,2021/6/3,,,,港企,CMIC
CHINA AVIONICS SYSTEMS COMPANY LIMITED,中航航空电子系统股份有限公司,2021/6/3,,,,内地企业,CMIC
Proven Honour Capital Limited,,2021/6/3,,,,港企,CMIC
Sensetime Group Limited,商汤集团股份有限公司,2021/12/10,,1,0020.HK,港企,CMIC
"CloudWalk Technology Co., Ltd (CloudWalk)",云从科技集团股份有限公司,2021/12/16,1,2,688327,内地企业,CMIC
"Dawning Information Industry Co., Ltd (Sugon)",曙光信息产业股份有限公司,2021/12/16,1,2,603019,内地企业,CMIC
"Leon Technology Co.,Ltd",立昂技术股份有限公司,2021/12/16,2,2,300603,内地企业,CMIC
"Sdic Intelligence Xiamen Information Co.,Ltd.",国投智能（厦门）信息股份有限公司,2021/12/16,1,2,300188,内地企业,CMIC
"Beijing Megvii Technology Co., Ltd. (Megvii)",北京旷视科技有限公司,2021/12/16,2,0,,内地企业,CMIC
"Shenzhen DJI Innovation Technology Co., Ltd. (Dll)",深圳市大疆创新科技有限公司,2021/12/16,2,0,,内地企业,CMIC
YITU Technology,上海依图网络科技有限公司,2021/12/16,2,0,,内地企业,CMIC
"SZ DJI Technology Co., Ltd.",深圳市大疆创新科技有限公司,2021/12/16,,,,内地企业,CMIC
Netposa Technologies Limited,东方网力科技股份有限公司,2021/12/16,,,,内地企业,CMIC
"Xiamen Meiya Pico Information Co., Ltd.",厦门市美亚柏科信息股份有限公司,2021/12/16,,1,300188.SZ,内地企业,CMIC
