英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
ZHONGGUO CHANGCHENG GONGYE ZONGGONGSI,中国长城工业总公司,2008/06/19,2,.,,内地企业,SDN
"DEHONG THAILONG HOTEL CO., LTD.",德宏沈鸭子酒店有限公司,2008/11/13,0,.,,内地企业,SDN
HONG PANG GEMS & JEWELLERY (HK) CO. LIMITED,,2008/11/13,.,.,,港企,SDN
POLYTON (ASIA) LIMITED,,2011/12/29;2019/12/11,.,.,,港企,SDN
IDEAL SUCCESS INVESTMENTS LIMITED,,2012/11/08,.,.,,港企,SDN
STARRY SHINE INTERNATIONAL LIMITED,,2012/11/08,.,.,,港企,SDN
TOP GLACIER COMPANY LIMITED,,2012/11/08,.,.,,港企,SDN
TOP PRESTIGE TRADING LIMITED,,2012/11/08,.,.,,港企,SDN
DALIAN ZHENGHUA MAOYI YOUXIAN GONGSI,大连正华商贸有限公司,2014/04/29,0,0,,内地企业,SDN
"DALIAN ZHONGCHUANG CHAR-WHITE CO., LTD.",大连中创炭素有限公司,2014/04/29,0,0,,内地企业,SDN
"KARAT INDUSTRY CO., LTD.",,2014/04/29,.,.,,港企,SDN
MTTO INDUSTRY AND TRADE LIMITED,,2014/04/29,.,.,,港企,SDN
"SINOTECH INDUSTRY CO., LTD.",上海思诺特工业技术有限公司,2014/04/29,0,0,,内地企业,SDN
SUCCESS MOVE LTD.,,2014/04/29,.,.,,港企,SDN
TEREAL INDUSTRY AND TRADE LIMITED,天津百得锐国际货运代理有限公司,2014/04/29,.,.,,内地企业,SDN
"BOYLE CHEMICAL CO., LTD. ",上海波以尔化工有限公司,2014/05/07,0,0,,内地企业,SDN
CEC LIMITED,中国电子信息产业集团有限公司,2014/07/29,2,0,,内地企业,SDN
"T-RUBBER CO., LTD",三橡股份有限公司,2016/07/21,2,0,,内地企业,SDN
GUANGZHOU SYRISS LOGISTICS & SERVICES,广州市赛黎司国际货运代理有限公司,2016/12/23,0,0,,内地企业,SDN
COSAILING BUSINESS TRADING COMPANY LIMITED,青岛航帆贸易有限公司,2017/02/03,0,0,,内地企业,SDN
NINGBO NEW CENTURY IMPORT AND EXPORT COMPANY,宁波新世纪进出口有限公司,2017/02/03,1,0,,内地企业,SDN
SHANGHAI GANG QUAN TRADE CO.,上海港泉商贸有限公司,2017/05/17,0,0,,内地企业,SDN
SHANGHAI NORTH BEGINS INTERNATIONAL ,上海丙至国际贸易有限公司,2017/05/17,0,0,,内地企业,SDN
SHANGHAI NORTH TRANSWAY INTERNATIONAL TRADING CO.,上海创徽国际贸易有限公司,2017/05/17,0,0,,内地企业,SDN
"RAYTRONIC CORPORATION, LIMITED",,2017/07/18,.,.,,港企,SDN
ABASCIENCE TECH CO. LTD.,,2017/07/18,.,.,,港企,SDN
"SUNWAY TECH CO., LTD",北京旭润科技有限公司,2017/07/18;2023/10/18,0,0,,内地企业,SDN
MINGZHENG INTERNATIONAL TRADING LIMITED,,2017/08/22,.,.,,港企,SDN
WUHAN SANJIANG IMPORT AND EXPORT CO. LTD,武汉三江进出口有限公司,2017/10/13,1,0,,内地企业,SDN
"BOCHUANG CERAMIC, INC.",上海博瓷实业有限公司,2018/01/12,0,0,,内地企业,SDN
SHANGHAI DONGFENG SHPG CO LTD,上海东丰船务有限公司,2018/02/23,0,0,,内地企业,SDN
EKT SMART TECHNOLOGY,深圳易科讯科技有限公司,2018/07/25,0,0,,内地企业,SDN
GOLDEN STAR CO,金星有限公司,2018/07/25,.,.,,内地企业,SDN
BANK OF KUNLUN CO LTD,昆仑银行股份有限公司,2018/08/15,1,1,617.0,内地企业,SDN
EQUIPMENT DEVELOPMENT DEPARTMENT,装备发展部,2018/09/20,.,.,,机关,SDN
DALIAN HAIBO INTERNATIONAL FREIGHT CO. LTD.,大连海博国际货运代理有限公司,2019/03/21,0,0,,内地企业,SDN
"HENAN JIAYUAN ALUMINIUM INDUSTRY CO., LTD",河南嘉源铝业有限公司,2019/07/18,0,0,,内地企业,SDN
"SANMING SINO-EURO IMPORT AND EXPORT CO., LTD",三明中伊欧进出口有限公司,2019/07/18,0,0,,内地企业,SDN
"SUZHOU A-ONE SPECIAL ALLOY CO., LTD",苏州埃文特种合金有限公司,2019/07/18,0,0,,内地企业,SDN
"SUZHOU ZHONGSHENG MAGNETIC INDUSTRY CO., LTD.",苏州中盛磁业有限公司,2019/07/18,0,0,,内地企业,SDN
ZHUHAI ZHENRONG COMPANY LIMITED,珠海振戎有限公司,2019/07/22,1,0,,内地企业,SDN
"QINSHENG PHARMACEUTICAL TECHNOLOGY CO., LTD. ",上海勤胜医药科技有限公司,2019/08/21,0,0,,内地企业,SDN
"CHINA CONCORD PETROLEUM CO., LIMITED",,2019/09/25,.,.,,港企,SDN
"COSCO SHIPPING TANKER (DALIAN) CO., LTD. ",大连中远海运油品运输有限公司,2019/09/25,1,1,600026.0,内地企业,SDN
"COSCO SHIPPING TANKER (DALIAN) SEAMAN AND SHIP MANAGEMENT 
CO., LTD.",大连中远海运油运船员船舶管理有限公司,2019/09/25,1,1,600026.0,内地企业,SDN
KUNLUN SHIPPING COMPANY LIMITED,,2019/09/25,.,.,,港企,SDN
"GOMEI AIR SERVICES CO., LTD.",,2019/12/11,.,.,,港企,SDN
HONGYUAN MARINE CO LTD,宁波鸿源船舶管理有限公司,2020/01/10,0,0,,内地企业,SDN
"PEAKVIEW INDUSTRY CO., LIMITED ",,2020/01/23,.,.,,港企,SDN
"SHANDONG QIWANGWA PETROCHEMICAL CO., LTD. ",山东齐旺达石油化工有限公司,2020/01/23,1,0,,内地企业,SDN
TRILIANCE PETROCHEMICAL CO. LTD.,众祥石油（上海）有限公司,2020/01/23,0,0,,内地企业,SDN
