英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
"Shanghai Tianlang Electronic Science Co., Ltd.",上海汉德加网络科技股份有限公司,2020/12/23,0,0,,内地企业,meu
"Shenyang Academy of Instrumentation Science Co., 
Ltd.",沈阳仪表科学研究院有限公司,2020/12/23,1,0,,内地企业,meu
Shenyang Aircraft Corporation,沈阳飞机工业（集团）有限公司,2020/12/23,1,1,600760,内地企业,meu
"Shenyang Xizi Aviation Industry Co., Ltd.",沈阳西子航空产业有限公司,2020/12/23,1,0,,内地企业,meu
"Sichuan Hangte Aviation Tech. Co., Ltd.",四川航特航空设备有限公司,2020/12/23,0,0,,内地企业,meu
"Star Tech Aviation Co., Ltd.",深圳市诚泰航材设备有限公司,2020/12/23,0,0,,内地企业,meu
Sumec Instruments Equipment Co. Ltd.,江苏苏美达仪器设备有限公司,2020/12/23,1,0,,内地企业,meu
Suzhou Eric Mechanics and Electronics Co. Ltd.,江苏意可航空科技股份有限公司,2020/12/23,0,0,,内地企业,meu
"Wuxi Hyatech Co., Ltd.",无锡航亚科技股份有限公司,2020/12/23,2,2,688510,内地企业,meu
"Wuxi Paike New Mat. Tech. Co., Ltd.",无锡派克新材料科技股份有限公司,2020/12/23,2,2,605123,内地企业,meu
Wuxi Turbine Blade Co. Ltd.,无锡透平叶片有限公司,2020/12/23,1,0,,内地企业,meu
Xac Group Aviation Electronics Import & Export Co. Ltd.,西安飞机工业（集团）航电进出口有限公司,2020/12/23,0,0,,内地企业,meu
"XAIC Tech (Xi’an) Industrial Co., Ltd",西飞科技（西安）工贸有限公司,2020/12/23,1,1,000768,内地企业,meu
"Xian Aero-Engine Controls Co., Ltd.",西安航空动力控制国际有限公司,2020/12/23,1,0,,内地企业,meu
Xian Aircraft Industrial Company Limited,中航西安飞机工业集团股份有限公司,2020/12/23,2,2,000768,内地企业,meu
"Xi’an Xae Flying Aviation Manufacturing Technology Co., Ltd.",西安西航集团莱特航空制造技术有限公司,2020/12/23,1,1,600893,内地企业,meu
Xian Xr Aero- Components Co. Ltd.,西安西罗航空部件有限公司,2020/12/23,1,1,600893,内地企业,meu
"Yibin Sanjiang Machine Co., Ltd.",宜宾三江机械有限责任公司,2020/12/23,1,1,600372,内地企业,meu
"Zhejiang Perfect New Material Co., Ltd.",浙江完美新材料科技有限公司,2020/12/23,1,0,,内地企业,meu
"Chinese Academy of
Engineering Physics",中国工程物理研究院,1997/6/30;2001/5/14;2010/12/17;2011/4/18;2011/8/15;2012/9/19;2020/6/5,.,.,,研究所,EL
"China Aerodynamics
Research and Development
Center",中国空气动力研究与发展中心,1999/5/28;2016/9/20,.,.,,研究所,EL
"Beijing Aerospace
Automatic Control Institute
(BICD)","北京航天自动控制研究所
（中国航天科工一院12所）","1999/5/28;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
"Beijing Institute of Structure
and Environmental
Engineering",中国航天科工一院702所,"1999/5/28;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
"China Aerospace Science
and Technology Corporation
(CASC) 8th Academy",中国航天科技集团公司第八研究院,"1999/5/28;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
"Shanghai Institute of Space
Power Sources","上海空间电源研究所
（中国航天科工八院811所）","1999/5/28;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
